               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.043105,            0.013682,           0.0068768,              0.9504,             0.88219,             0.94846,              0.5855,            0.034742,            0.014232,           0.0064097,           0.0097011,           0.0097011,           0.0097011
                  37,            0.037249,            0.012886,            0.006325,             0.97141,             0.96378,             0.98883,             0.63991,            0.031981,            0.011046,           0.0039904,            0.009684,            0.009684,            0.009684
                  38,            0.041847,             0.01291,           0.0047956,             0.93714,             0.92867,             0.97283,             0.52528,             0.03374,            0.011531,           0.0053788,           0.0096664,           0.0096664,           0.0096664
                  39,            0.040732,            0.012924,           0.0060449,             0.94509,              0.9466,             0.98029,             0.57032,            0.033836,            0.011659,           0.0050563,           0.0096484,           0.0096484,           0.0096484
                  40,            0.040171,            0.013574,           0.0061179,             0.94205,             0.90616,              0.9579,             0.55016,            0.031869,            0.012398,            0.005668,           0.0096299,           0.0096299,           0.0096299
                  41,            0.036322,            0.012633,           0.0055813,             0.96741,             0.97285,             0.98684,             0.59398,            0.032301,            0.011409,           0.0038134,            0.009611,            0.009611,            0.009611
                  42,            0.035712,            0.012358,           0.0053009,             0.99211,             0.98865,             0.99443,             0.66177,            0.027485,            0.010559,           0.0027246,           0.0095916,           0.0095916,           0.0095916
                  43,            0.037831,            0.012366,           0.0038332,             0.98289,             0.97847,             0.99246,             0.64361,            0.027992,            0.010814,           0.0027571,           0.0095717,           0.0095717,           0.0095717
                  44,            0.035644,            0.013172,           0.0044676,             0.94178,              0.9451,             0.97091,             0.63258,            0.026617,            0.011062,           0.0067379,           0.0095514,           0.0095514,           0.0095514
                  45,            0.034038,            0.012132,           0.0061587,             0.98605,             0.97844,             0.99198,             0.56343,            0.034881,            0.010941,           0.0037625,           0.0095307,           0.0095307,           0.0095307
                  46,            0.036594,            0.012429,           0.0046824,             0.98881,             0.98188,             0.99451,             0.60625,            0.029609,            0.010526,           0.0029942,           0.0095095,           0.0095095,           0.0095095
                  47,            0.035661,            0.012459,           0.0036388,             0.96791,              0.9695,              0.9861,              0.6003,            0.030512,            0.010796,           0.0038102,           0.0094879,           0.0094879,           0.0094879
                  48,            0.034896,            0.012007,           0.0046418,             0.99202,             0.98169,              0.9941,             0.66621,            0.027176,            0.010291,           0.0026434,           0.0094659,           0.0094659,           0.0094659
