-4.246512104925798670e-01,-2.339636609833543879e-01,-6.211523631874138474e-02,-7.060859452085311953e-03,-9.812496562542186856e-03,-4.923637112913234991e-03
-5.248251175484216491e-01,-1.429433782727689839e-01,-1.488552786247692161e-01,-6.584918611866318397e-03,-1.052214789907110828e-02,-4.005982832128288963e-03
-5.361351655375938829e-01,-8.591764131529079640e-02,-7.300107970087976739e-02,-5.740584754931579020e-03,-1.000582441144452772e-02,-3.892756797958425719e-03
-5.878496870421774378e-01,-1.380104569675815185e-01,-1.091615484972319194e-01,-6.314680286906920563e-03,-9.557731643630235779e-03,-3.866678250133264057e-03
-4.528864378284827019e-01,-2.247060019503451800e-01,-1.531834836941516897e-01,-7.645181539380051065e-03,-1.108788522332836840e-02,-4.229142069236829782e-03
-5.294943048900628835e-01,-2.048894186140507168e-01,-1.777154844959949465e-01,-7.642765069818642336e-03,-1.039293093610944851e-02,-4.327534016652785122e-03
-5.940826161051883103e-01,-1.130924637463454896e-01,-1.962758689504480181e-01,-6.747947880040118702e-03,-9.941917332824739759e-03,-3.853356929843163893e-03
-4.312340203554620444e-01,-1.837453686990215274e-01,-1.527696420046606995e-01,-6.967294799971094320e-03,-1.123083169944041199e-02,-4.380049376420839385e-03
-5.263566515309158200e-01,-1.740738789822010024e-01,-7.553970508525820193e-02,-6.588881961559752386e-03,-1.011057250131230587e-02,-4.311178355188136427e-03
-4.696577485201723356e-01,-2.119713464412315840e-01,-8.788546067451541433e-02,-7.219079703471724223e-03,-1.057401996407650313e-02,-4.469989436147188411e-03
-4.713441764731031158e-01,-2.388525183986938139e-01,-1.549578586722577533e-01,-7.782526447431722429e-03,-1.104830239432608337e-02,-4.362365243622834572e-03
-5.567018156531532425e-01,-1.361955364131026969e-01,-1.733521884568607341e-01,-7.137214620019072774e-03,-9.877760187783746204e-03,-4.016097491796271832e-03
-5.884119578009117113e-01,-9.308791091896111147e-02,-1.974190017835781852e-01,-6.592065291743530626e-03,-9.860905792147380347e-03,-3.669466183920094566e-03
-5.089225204983092166e-01,-1.700522700081334715e-01,-1.440654024074770057e-01,-6.814017654862797140e-03,-1.044235561110589197e-02,-4.048866616985036769e-03
-5.251145638432817009e-01,-2.049649127404389592e-01,-9.519037936659380250e-02,-6.967497295468131312e-03,-1.013145207663474628e-02,-4.138939305608265590e-03
-5.366841815362732859e-01,-9.829848805889535024e-02,-9.469058049473311200e-02,-6.049380099346572670e-03,-1.026581195030307203e-02,-4.220361290448729902e-03
-4.378425761145938733e-01,-2.404926742775844728e-01,-1.405692382849408339e-01,-7.480463136953129956e-03,-1.104269911716839608e-02,-4.873592186915283973e-03
-4.933381527948948464e-01,-1.614383079674137356e-01,-1.913884205520037796e-01,-7.098503690751086469e-03,-1.064624045010835462e-02,-4.164460542715173186e-03
-4.987575978804818511e-01,-1.935305012592233587e-01,-1.521263068217622028e-01,-7.548879408679229873e-03,-1.064038546861237854e-02,-4.296741039037486540e-03
-5.750607190038834471e-01,-1.258768581939842257e-01,-1.191885844829507768e-01,-6.740671807846222371e-03,-9.593200435625288958e-03,-3.902107593038511239e-03
-5.195820828867216967e-01,-1.613506434734888195e-01,-9.331194017148769504e-02,-6.649137476839807499e-03,-1.032167118258945498e-02,-4.172004170423539854e-03
-4.483257514531681087e-01,-1.831001969716863353e-01,-1.223169592580806153e-01,-6.753585877195016594e-03,-1.095979939321788457e-02,-4.272904649429917941e-03
-5.355000248636943017e-01,-1.123148517220231846e-01,-1.637730859751451717e-01,-6.360076133685208834e-03,-1.024591676025082485e-02,-4.177661510824424475e-03
-6.018721961299848822e-01,-1.931261834781248798e-01,-1.736548106397313163e-01,-7.278835635869213179e-03,-9.576606940790842459e-03,-4.301902742872756175e-03
-5.432266704630154264e-01,-1.902713886196202575e-01,-1.661803877712579869e-01,-7.206781067575127563e-03,-9.905233443103759680e-03,-4.141888542084223683e-03
-4.400819157125568926e-01,-1.849087473762908718e-01,-9.531585573658185595e-02,-6.720401402229429430e-03,-1.098486804770707793e-02,-4.327335496614298158e-03
-3.730280860295049905e-01,-2.226577491178706736e-01,-9.924884556294610860e-02,-6.994405452135502195e-03,-1.163422941600014346e-02,-4.306925107792860218e-03
-5.687962730883746598e-01,-1.151154993196370491e-01,-1.632761632429873266e-01,-6.526629173324720833e-03,-9.919586366587627643e-03,-3.997216309473157654e-03
-5.468253492821245620e-01,-2.010072714963447860e-01,-1.712790470035243651e-01,-7.499980981128599213e-03,-9.903948826115196308e-03,-4.304366688518868229e-03
-6.254469422697288561e-01,-1.151896198705869290e-01,-1.569810120810086751e-01,-6.604540077490595427e-03,-9.341975637961670229e-03,-3.868161944315181774e-03
-4.900934097289072477e-01,-1.587247057791069671e-01,-1.588511007944997111e-01,-6.672902878284813454e-03,-1.078099691355024169e-02,-4.108406227976348080e-03
-4.107037045071470494e-01,-2.047547999806733909e-01,-1.003005576951774280e-01,-7.178075179778301528e-03,-1.118488600805279780e-02,-4.566046057144481675e-03
-5.520892386176647904e-01,-1.337124003124208482e-01,-1.156306386237093697e-01,-6.467672836349983023e-03,-9.803142618250059587e-03,-4.030302319098279414e-03
-5.624135545766647537e-01,-1.483240798487734102e-01,-1.318930141531371447e-01,-6.858962759439411229e-03,-1.001764090826650841e-02,-4.271874658135930460e-03
-5.451903176714527621e-01,-1.318042966151194706e-01,-1.256004123452405530e-01,-6.605425933843676704e-03,-1.041807548946358311e-02,-4.074658784685514581e-03
-4.699049811609555261e-01,-2.251359498022402483e-01,-1.551916918677536117e-01,-7.398021291278605686e-03,-1.100947056744732734e-02,-4.386410642044508146e-03
